 Nrows
 372
     Z     N      Q20    beta0
    96   132    21.47     0.20
    98   130    10.73     0.10
   100   132    11.05     0.10
   100   134    11.21     0.10
   100   134    22.42     0.20
   104   188    16.21     0.10
   106   140    12.18     0.10
   110   180   -16.03    -0.10
   110   198    17.72     0.10
   110   198    35.44     0.20
   110   198    53.16     0.30
   110   198    70.89     0.40
   110   254   -23.41    -0.10
   112   180   -16.21    -0.10
   112   194   -52.59    -0.30
   112   198   -53.74    -0.30
   112   198    17.91     0.10
   112   198    35.83     0.20
   112   198    53.74     0.30
   112   198    71.65     0.40
   112   200    18.11     0.10
   112   200    36.21     0.20
   112   200    54.32     0.30
   112   200    72.43     0.40
   112   200    90.53     0.50
   112   254   -23.63    -0.10
   114   180   -16.40    -0.10
   114   200   -54.90    -0.30
   114   200    18.30     0.10
   114   200    36.60     0.20
   114   200    54.90     0.30
   114   200    73.20     0.40
   114   200    91.50     0.50
   114   252   -23.63    -0.10
   114   254   -23.84    -0.10
   116   180   -16.59    -0.10
   116   190    17.53     0.10
   116   202   -56.07    -0.30
   116   202    18.69     0.10
   116   202    37.38     0.20
   116   202    56.07     0.30
   116   202    74.76     0.40
   116   206    76.34     0.40
   118   192   -17.91    -0.10
   118   194   -54.32    -0.30
   118   194   -18.11    -0.10
   118   254   -24.27    -0.10
   120   188    35.44     0.20
   120   190    17.91     0.10
   120   190    35.83     0.20
   120   200   -56.66    -0.30
   120   200    37.77     0.20
   120   200    75.55     0.40
   120   202   -57.25    -0.30
   120   202    19.08     0.10
   120   202    38.17     0.20
   120   202    57.25     0.30
   120   204    19.28     0.10
   120   204    38.56     0.20
   120   204    57.85     0.30
   120   206    58.44     0.30
   120   206    77.92     0.40
   120   252   -24.27    -0.10
   120   270    26.26     0.10
   120   270    52.53     0.20
